2026-07-25 12:01:29.654131: New=6, Dups=0, Skipped=0
2026-07-25 12:05:32.875623: New=6, Dups=1, Skipped=0
2026-07-25 12:10:44.415420: New=6, Dups=1, Skipped=0
2026-07-25 12:15:45.886377: New=6, Dups=0, Skipped=0
2026-07-25 12:20:45.849623: New=4, Dups=1, Skipped=0
2026-07-25 12:25:32.318457: New=3, Dups=0, Skipped=0
2026-07-25 12:31:04.084613: New=10, Dups=16, Skipped=0
2026-07-25 12:35:39.387071: New=7, Dups=3, Skipped=0
2026-07-25 12:41:05.702151: New=8, Dups=4, Skipped=0
2026-07-25 12:46:10.841575: New=5, Dups=7, Skipped=0
2026-07-25 12:51:03.476550: New=5, Dups=0, Skipped=0
2026-07-25 12:55:53.214170: New=0, Dups=0, Skipped=0
2026-07-25 13:01:28.004933: New=2, Dups=0, Skipped=0
2026-07-25 13:05:53.759446: New=2, Dups=1, Skipped=0
2026-07-25 13:11:13.280576: New=7, Dups=0, Skipped=0
2026-07-25 13:16:01.409142: New=1, Dups=11, Skipped=0
2026-07-25 13:21:12.005972: New=3, Dups=12, Skipped=0
2026-07-25 13:26:03.821182: New=4, Dups=1, Skipped=0
2026-07-25 13:31:20.129959: New=7, Dups=9, Skipped=0
2026-07-25 13:35:59.469340: New=6, Dups=9, Skipped=0
2026-07-25 13:41:02.246450: New=2, Dups=9, Skipped=0
2026-07-25 13:46:13.013025: New=10, Dups=7, Skipped=0
2026-07-25 13:51:02.367070: New=3, Dups=5, Skipped=0
2026-07-25 13:56:04.813057: New=3, Dups=4, Skipped=0
2026-07-25 14:01:21.838853: New=3, Dups=4, Skipped=0
2026-07-25 14:05:57.160343: New=6, Dups=522, Skipped=0
2026-07-25 14:10:55.077564: New=1, Dups=4, Skipped=0
2026-07-25 14:16:03.767627: New=3, Dups=4, Skipped=0
2026-07-25 14:21:04.035467: New=2, Dups=4, Skipped=0
2026-07-25 14:25:53.950185: New=2, Dups=1, Skipped=0
2026-07-25 14:31:09.371405: New=2, Dups=3, Skipped=0
2026-07-25 14:35:48.010587: New=1, Dups=0, Skipped=0
2026-07-25 14:41:01.932430: New=2, Dups=11, Skipped=0
2026-07-25 14:45:58.017145: New=0, Dups=0, Skipped=0
2026-07-25 14:50:57.771634: New=0, Dups=0, Skipped=0
